Jahr,Altersgruppe,Bundesland,Einwohner
2000,0-65,Niedersachsen,109453
2000,0-65,Nordrhein-Westfalen,248886
2000,0-65,Rheinland-Pfalz,53328
2000,0-65,Saarland,13468
2000,0-65,Sachsen,58143
2000,0-65,Sachsen-Anhalt,34269
2000,0-65,Schleswig-Holstein,38616
2000,0-65,Thüringen,31897
2000,0-65,Baden-Württemberg,158437
2000,0-65,Bayern,184662
2000,0-65,Berlin,55009
2000,0-65,Brandenburg,33161
2000,0-65,Bremen,10005
2000,0-65,Hamburg,29915
2000,0-65,Hessen,92487
2000,0-65,Mecklenburg-Vorpommern,22378
2000,0-65,Niedersachsen,115721
2000,0-65,Nordrhein-Westfalen,263782
2000,0-65,Rheinland-Pfalz,56378
2000,0-65,Saarland,13913
2000,0-65,Sachsen,58898
2000,0-65,Sachsen-Anhalt,34812
2000,0-65,Schleswig-Holstein,41044
2000,0-65,Thüringen,32985
2000,0-65,Baden-Württemberg,171417
2000,0-65,Bayern,200506
2000,0-65,Berlin,58139
2000,0-65,Brandenburg,34611
2000,0-65,Bremen,10626
2000,0-65,Hamburg,32017
2000,0-65,Hessen,100032
2000,0-65,Mecklenburg-Vorpommern,23220
2000,0-65,Niedersachsen,126213
2000,0-65,Nordrhein-Westfalen,288957
2000,0-65,Rheinland-Pfalz,61574
2000,0-65,Saarland,15634
2000,0-65,Sachsen,59129
2000,0-65,Sachsen-Anhalt,35726
2000,0-65,Schleswig-Holstein,45641
2000,0-65,Thüringen,33409
2000,0-65,Baden-Württemberg,180818
2000,0-65,Bayern,210652
2000,0-65,Berlin,61157
2000,0-65,Brandenburg,36676
2000,0-65,Bremen,11301
2000,0-65,Hamburg,34273
2000,0-65,Hessen,105472
2000,0-65,Mecklenburg-Vorpommern,24740
2000,0-65,Niedersachsen,132425
2000,0-65,Nordrhein-Westfalen,302996
2000,0-65,Rheinland-Pfalz,64861
2000,0-65,Saarland,16414
2000,0-65,Sachsen,60610
2000,0-65,Sachsen-Anhalt,36910
2000,0-65,Schleswig-Holstein,48970
2000,0-65,Thüringen,33924
2000,0-65,Baden-Württemberg,185098
2000,0-65,Bayern,215844
2000,0-65,Berlin,62130
2000,0-65,Brandenburg,39413
2000,0-65,Bremen,11371
2000,0-65,Hamburg,34463
2000,0-65,Hessen,107537
