jahr	woche	altersgruppe	tote100kWeighted	baseline	excess
2020	08	75-80	2.8916622915501256	3.0204920172497354	-0.042651900737984305
2020	08	80-85	3.2023670733813883	3.7947281310593084	-0.15610105315042977
2020	08	85	6.768179528747388	8.87827449146948	-0.237669489127593
2020	09	0-30	0.1749788872739323	0.18962137113040115	-0.07721958642730897
2020	09	30-35	0.05840898627561508	0.06311077129019974	-0.07450051581471917
2020	09	35-40	0.081367341954527	0.084861963699755	-0.04118007164661097
2020	09	40-45	0.16521579715020476	0.19978365423017955	-0.1730264531058564
2020	09	45-50	0.34890430782190124	0.3900613742803804	-0.10551433485155859
2020	09	50-55	0.4592497731343946	0.5572500754720675	-0.1758641347058647
2020	09	55-60	0.7106813963640833	0.7843577106793699	-0.09393203293873653
2020	09	60-65	1.0475344150534784	1.1703293846466942	-0.10492342686096512
2020	09	65-70	1.3734373977772263	1.527827894151397	-0.10105228276377554
2020	09	70-75	2.3165787937543945	3.020700527252578	-0.23309882166260443
2020	09	75-80	3.001877288728061	3.1468781228224403	-0.04607767712475874
2020	09	80-85	3.296181469038642	3.96276861891374	-0.168212483235476
2020	09	85	7.126833582704159	8.975408085941547	-0.20595993915116417
2020	10	0-30	0.20701727508465229	0.19304830955022861	0.07235994745029939
2020	10	30-35	0.05628502313831998	0.05804910324817064	-0.030389446367653505
2020	10	35-40	0.0791380997091975	0.09214059292541496	-0.14111579710304878
2020	10	40-45	0.17300899512898799	0.19582142468722047	-0.11649608613904261
2020	10	45-50	0.2849960930228402	0.38132865329989074	-0.25262345077774984
2020	10	50-55	0.48556095805355265	0.5668488511176736	-0.1434031186688357
2020	10	55-60	0.7305051452166379	0.8010340362136956	-0.08804730861429011
2020	10	60-65	1.0051894242620962	1.1387605536068008	-0.11729518459490385
2020	10	65-70	1.427318403382333	1.4873298435178601	-0.040348440796149854
2020	10	70-75	2.330450523058313	2.922299586252204	-0.20252853813421867
2020	10	75-80	2.9449921288942877	3.070194541379463	-0.04077996061738831
2020	10	80-85	3.2141995196805015	3.8399268239633253	-0.16295292409686812
2020	10	85	7.36939698235387	8.744044117073381	-0.15720953786536962
2020	11	0-30	0.16635316747873843	0.19472940633091435	-0.14572138531534684
2020	11	30-35	0.04778917058913961	0.06109322630292402	-0.21776646150291223
2020	11	35-40	0.09251355318117453	0.0823862479193614	0.1229247054887801
2020	11	40-45	0.18391947229928451	0.1825155756501095	0.007691927903547002
2020	11	45-50	0.33163181733566854	0.35222424225993043	-0.05846396259421949
2020	11	50-55	0.49632462461139	0.5249743963793638	-0.054573655335508175
2020	11	55-60	0.689866460068901	0.7847687165179981	-0.12093022370995676
2020	11	60-65	1.044509772854094	1.089798061467988	-0.041556587605679485
2020	11	65-70	1.4590131125618073	1.4441400169003633	0.010298929111712374
2020	11	70-75	2.459919996561552	2.798459332168822	-0.12097346983595436
2020	11	75-80	3.0113581487003565	2.983503423973421	0.00933624694482127
2020	11	80-85	3.349427477384651	3.6782761492333274	-0.08940293183730086
2020	11	85	7.218384749108914	8.29320326030756	-0.12960233548632283
2020	12	0-30	0.17374664158890457	0.18523102244080053	-0.06200031021027452
2020	12	30-35	0.06053294941291017	0.057078406022259554	0.060522772645462464
